peak_num,lambda_obs_A,intensity_V
1,5895.961,6.8335
2,5893.681,9.4623
3,5690.502,0.4248
4,5685.203,0.2527
5,5156.669,0.2438
6,4986.543,0.6512
7,4982.004,0.3397
8,4754.849,0.3769
9,4671.886,1.0541
10,4668.106,0.6198
11,4500.74,0.4184
12,4496.001,0.2435
13,4425.475,0.3217
14,4420.436,0.3281
15,4400.52,0.415
16,4396.741,0.4675
17,4394.721,0.4105
18,4392.701,0.5002
19,4389.682,0.4742
20,4386.903,0.5939
21,4349.85,2.6889
22,4329.474,0.376
23,4327.475,0.3979
24,4325.715,0.3873
25,4322.176,0.3992
26,4292.002,0.3979
27,4289.982,0.4004
28,4287.183,0.4071
29,4285.423,0.4178
30,4282.404,0.387
31,4279.384,0.4004
32,4277.105,0.394
33,4246.391,0.4526
34,4243.611,0.4407
35,4241.592,0.4724
36,4239.072,0.4858
37,4237.293,0.4587
38,4223.415,0.4916
39,4220.396,0.4984
40,4217.636,0.4953
41,4214.597,0.4886
42,4211.838,0.4749
43,4209.818,0.4907
44,4207.778,0.5176
45,4205.779,0.5124
46,4176.545,0.5542
47,4174.025,0.5719
48,4172.006,0.5603
49,4170.246,0.563
50,4153.089,0.6705
51,4151.09,0.7742
52,3306.339,2.7927
53,3235.493,0.2002
